P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
Xalvarezi	Xclemenciae_F2	Xcouchianus	13.9976	0	0.0289355	2.80311e+06	163149	71260.2	240205	11198.4	873724	42484.4	58186.4	48376.1	1.76692e+06	66149.5	29807.4	28300.2	468634	3028.75
Xalvarezi	Xcouchianus	Xclemenciae_F2	13.5805	0	-0.0316861	2.80311e+06	71260.2	163149	240205	11198.4	873724	48376.1	29807.4	42484.4	1.76692e+06	28300.2	58186.4	66149.5	468634	3028.75
Xalvarezi	Xclemenciae_F2	Xevelynae	15.1796	0	0.0233234	2.88745e+06	89072.8	79507.2	265335	8632.5	940319	31665.2	33222.2	37245.4	1.83748e+06	37533	35940.6	31318.1	521216	2918.88
Xalvarezi	Xevelynae	Xclemenciae_F2	14.8171	0	-0.0250781	2.88745e+06	79507.2	89072.8	265335	8632.5	940319	37245.4	35940.6	31665.2	1.83748e+06	31318.1	33222.2	37533	521216	2918.88
Xalvarezi	Xclemenciae_F2	Xgordoni	38.4555	0	0.0944002	2.67622e+06	283707	62791	226116	14769	825330	51009.9	79067.8	69263.1	1.68115e+06	112050	26241.1	24830.1	437425	3300.12
Xalvarezi	Xgordoni	Xclemenciae_F2	34.4469	0	-0.131697	2.67622e+06	62791	283707	226116	14769	825330	69263.1	26241.1	51009.9	1.68115e+06	24830.1	79067.8	112050	437425	3300.12
Xalvarezi	Xclemenciae_F2	Xhellerii	19.1357	0	-0.0489011	2.83817e+06	126549	81480.7	229054	7532.5	862688	49448.1	57661.6	41074.7	1.78305e+06	52721.6	31001.5	35036.4	451888	2650.75
Xalvarezi	Xhellerii	Xclemenciae_F2	20.0278	0	0.042645	2.83817e+06	81480.7	126549	229054	7532.5	862688	41074.7	31001.5	49448.1	1.78305e+06	35036.4	57661.6	52721.6	451888	2650.75
Xalvarezi	Xclemenciae_F2	Xmalinche_CHIC2	18.3312	0	0.0297993	2.88736e+06	90054.1	86903.1	262193	7042.62	939569	33958.7	34342.2	40968.8	1.83607e+06	37886.6	41861.6	35087.8	516723	3048.62
Xalvarezi	Xmalinche_CHIC2	Xclemenciae_F2	17.7681	0	-0.0327248	2.88736e+06	86903.1	90054.1	262193	7042.62	939569	40968.8	41861.6	33958.7	1.83607e+06	35087.8	34342.2	37886.6	516723	3048.62
